Grade,Rank,Word,Coefficient
A,1,executives,3.957091027677463
A,2,professional,3.790987237179181
A,3,restricted,3.5801775852871134
A,4,upper,3.5025917133314097
A,5,best,3.057329277381627
A,6,highly,2.648485176071257
A,7,desirable,2.3438452962324794
A,8,desirables,2.3339135852096766
A,9,executive,2.2174082463209994
A,10,est,2.171246562613835
B,1,skilled,3.161921255407784
B,2,collar,1.926924110562474
B,3,business,1.8126024015209456
B,4,middle,1.6627692770273044
B,5,men,1.488010113505196
B,6,residential,1.459673527996916
B,7,white,1.2626182062661564
B,8,remote,1.258808269365019
B,9,slow,1.2142061788262009
B,10,executives,1.1898059737606517
C,1,clerks,2.9752748585941435
C,2,workers,2.87793482251254
C,3,clerical,2.1687526191494655
C,4,middle,1.9426321043679124
C,5,mechanics,1.7983243812917555
C,6,lower,1.578386365579192
C,7,mixture,1.3973792283549817
C,8,factory,1.356907156636772
C,9,mixed,1.3463256991178165
C,10,threat,1.32388351529328
D,1,laborers,6.02230580407657
D,2,labor,3.4622911957474254
D,3,laboring,3.383799527318848
D,4,negro,3.1925761543043354
D,5,mexicans,2.4762765722823703
D,6,negroes,2.4755198423077314
D,7,low,2.327165128842105
D,8,population,1.9934102102954434
D,9,italian,1.8780769683182568
D,10,poor,1.8331497457472534
