GEOID,state,city,num_holc_areas,total_overlap,race_exposure,class_exposure,occupation_exposure,environment_exposure,depression_prev,diabetes_prev,obesity_prev,access2_prev
01073000100,AL,Birmingham,5,0.72528,1.170099823516435,0.5282097948378557,3.19349768365321,1.9914653651003749,22.0,21.6,47.3,15.5
01073000300,AL,Birmingham,3,0.94258,1.0,1.7822147722209256,4.108256063145834,4.216512126291668,21.9,23.1,48.6,14.3
01073000400,AL,Birmingham,4,0.4655,1.222126745435016,0.6159828141783028,4.231643394199785,4.923651987110634,21.8,25.0,50.0,17.0
01073000500,AL,Birmingham,2,0.64397,1.0,0.014068978368557541,4.992965510815721,5.985931021631442,24.3,31.9,56.1,22.3
01073000700,AL,Birmingham,2,0.41301,1.0,0.9981840633398708,4.00181593666013,3.0036318733202583,23.8,30.4,55.1,18.5
01073000800,AL,Birmingham,4,0.49379,0.7088438404989975,0.28469592336823346,3.544219202494988,3.5076449502825082,20.2,31.4,51.6,16.5
01073001100,AL,Birmingham,3,0.27237,0.6581121268862209,0.6567903954179976,1.9703711862539925,4.283951977089988,19.3,24.0,46.1,11.0
01073001200,AL,Birmingham,5,0.2908,1.0439133425034388,0.5561554332874828,3.939718019257221,5.2528885832187076,18.2,24.1,45.8,12.7
01073001400,AL,Birmingham,3,0.9971300000000001,1.0338070261650938,0.0,4.966192973834906,4.245965922196704,19.7,30.5,51.0,17.2
01073001500,AL,Birmingham,3,0.99993,1.0,0.05939415759103137,5.059394157591031,4.91600412028842,20.7,26.1,50.3,16.6
01073001600,AL,Birmingham,2,0.8754,1.0,0.4777587388622344,5.477758738862235,4.522241261137766,22.5,28.8,50.9,16.1
01073001902,AL,Birmingham,3,0.87753,1.2249609699953277,1.5396396704386175,4.455141134776019,3.5605164495800716,21.1,23.5,48.0,13.7
01073002000,AL,Birmingham,4,0.55134,1.5578771719809918,0.6751006638371967,5.026607900750897,2.4368085029201585,25.1,25.4,50.9,16.8
01073002100,AL,Birmingham,2,0.7317400000000001,1.9986060622625523,0.0006969688687238636,5.997212124525104,2.0,22.4,22.2,47.4,13.5
01073002200,AL,Birmingham,3,1.0,1.4666100000000002,1.06674,4.93318,3.06666,20.8,24.4,48.1,14.0
01073002303,AL,Birmingham,1,0.36718,1.0,2.0,4.0,4.0,23.3,20.2,47.5,13.9
01073002305,AL,Birmingham,4,0.7533500000000001,0.9016924404327338,1.182504811840446,3.2836131943983538,2.4689188292294415,24.3,10.3,34.1,6.4
01073002306,AL,Birmingham,7,0.33335,0.9598020098995051,0.7740812959352033,3.484775761211939,2.3345432728363584,22.5,8.5,28.3,4.7
01073002401,AL,Birmingham,7,0.80381,1.1798434953533796,0.22638434455903758,4.746756074196639,5.096129682387629,25.6,11.3,36.0,9.3
01073002402,AL,Birmingham,3,0.3498,1.0,0.002344196683819325,5.002344196683819,5.834505431675244,25.2,22.2,52.1,16.8
01073002701,AL,Birmingham,1,0.09441,1.0,0.0,5.0,3.0,23.9,7.4,30.6,5.8
01073002702,AL,Birmingham,2,0.53147,1.0,0.0,5.0,3.3242327883041374,22.0,24.9,50.4,19.2
01073002900,AL,Birmingham,3,0.82237,1.071707382321826,0.0,4.928292617678173,2.8508578863528578,21.5,31.2,53.4,16.1
01073003001,AL,Birmingham,5,0.62382,1.1181751146163958,0.9111282100605943,4.407697733320509,0.6618896476547721,23.9,15.1,36.1,8.4
01073003002,AL,Birmingham,6,0.88317,1.2914501171914807,0.7193858487041,3.498522368286966,2.631554513853505,19.2,20.2,44.1,11.7
01073003100,AL,Birmingham,5,0.9979199999999999,1.2773969857303191,0.9272987814654481,4.381663860830528,1.2294973544973544,20.7,27.2,50.7,14.5
01073003200,AL,Birmingham,3,0.87355,1.107252017629214,0.974208688684105,3.162921412626638,5.408070516856505,21.3,25.3,50.1,13.7
01073003300,AL,Birmingham,1,0.53617,1.0,1.0,3.0,6.0,20.2,25.0,48.4,12.5
01073003400,AL,Birmingham,2,0.7549,1.573970062259902,0.426029937740098,3.0000000000000004,3.704119750960392,20.6,25.7,49.6,13.1
01073003500,AL,Birmingham,2,0.40900000000000003,1.0,0.8445965770171149,2.533789731051345,5.222982885085575,21.7,23.3,49.4,13.8
01073003600,AL,Birmingham,5,0.76219,0.769650612052113,0.8229312900982695,3.230362508036054,3.0618612157073692,19.3,23.6,46.5,10.9
01073003700,AL,Birmingham,7,0.9944099999999999,0.9764986273267565,0.13504490099657085,3.080510051186131,2.1116239780372283,21.2,26.9,50.8,13.4
01073003802,AL,Birmingham,3,0.67346,1.0,0.5266088557598075,3.0589493065660913,4.047486116473139,18.9,22.1,45.6,9.4
01073003803,AL,Birmingham,3,1.0,1.0,1.0,5.164960000000001,3.8350400000000002,20.3,27.1,50.1,14.0
01073003900,AL,Birmingham,4,0.78975,1.0,0.9992276036720481,3.6527761949984177,5.344134219689776,20.4,24.8,47.6,12.8
01073004000,AL,Birmingham,3,0.99996,0.99904996199848,1.0,5.650576023040921,3.344673786951478,20.5,33.8,52.6,17.8
01073004200,AL,Birmingham,5,0.81321,0.9123965519361543,0.26028947012456805,4.878383197452073,2.93724868115247,18.9,23.7,46.0,13.3
01073004501,AL,Birmingham,4,1.0,3.40431,0.49074,5.4891499999999995,1.21075,30.0,1.8,22.1,6.5
01073004502,AL,Birmingham,5,0.39086,3.4646164867215887,0.060482014020365356,5.607097170342321,2.598679834211738,25.0,6.4,30.4,7.8
01073004701,AL,Birmingham,5,0.97065,0.6401277494462474,1.3834337814866327,5.015525678668933,2.0996445680729408,24.1,8.4,28.8,5.4
01073004702,AL,Birmingham,4,0.83329,0.6903959005868305,1.1309268081940262,3.338909623300412,1.7194494113693914,22.6,9.3,28.3,4.2
01073004800,AL,Birmingham,5,1.0,0.04107,1.2897699999999999,3.77112,2.35444,22.9,10.7,28.1,5.0
01073004901,AL,Birmingham,5,0.92032,0.5232853789986092,0.9852116655076494,4.080678459666204,1.9882975486787204,24.6,10.6,32.1,7.0
01073004902,AL,Birmingham,5,0.99408,1.9446121036536295,1.000201191051022,4.895702559150168,0.007765974569451151,26.0,7.0,30.8,8.7
01073005000,AL,Birmingham,3,0.70085,1.2582578297781266,1.0,4.051551687236927,1.070072055361347,25.3,7.9,30.3,8.1
01073005101,AL,Birmingham,3,1.0,0.99867,0.68844,4.99734,3.68445,23.0,29.2,54.3,16.1
01073005103,AL,Birmingham,2,0.96162,1.0,0.9981697552047587,5.0,3.9981697552047586,19.1,28.2,48.1,14.5
