GEOID,state,city,num_holc_areas,total_overlap,weighted_grade_score,dominant_grade,depression_prev,diabetes_prev,obesity_prev,access2_prev
01073000100,AL,Birmingham,5,0.72528,3.5276169203617913,C,22.0,21.6,47.3,15.5
01073000300,AL,Birmingham,3,0.94258,3.999575632837531,D,21.9,23.1,48.6,14.3
01073000400,AL,Birmingham,4,0.4655,3.7778732545649842,D,21.8,25.0,50.0,17.0
01073000500,AL,Birmingham,2,0.64397,4.0,D,24.3,31.9,56.1,22.3
01073000700,AL,Birmingham,2,0.41301,4.0,D,23.8,30.4,55.1,18.5
01073000800,AL,Birmingham,4,0.49379,3.8576520383158828,D,20.2,31.4,51.6,16.5
01073001100,AL,Birmingham,3,0.27237,4.0,D,19.3,24.0,46.1,11.0
01073001200,AL,Birmingham,5,0.2908,3.956086657496561,D,18.2,24.1,45.8,12.7
01073001400,AL,Birmingham,3,0.9971300000000001,3.966192973834906,D,19.7,30.5,51.0,17.2
01073001500,AL,Birmingham,3,0.99993,3.9406058424089685,D,20.7,26.1,50.3,16.6
01073001600,AL,Birmingham,2,0.8754,3.5222412611377663,D,22.5,28.8,50.9,16.1
01073001902,AL,Birmingham,3,0.87753,3.775039030004672,D,21.1,23.5,48.0,13.7
01073002000,AL,Birmingham,4,0.55134,3.233830304349403,C,25.1,25.4,50.9,16.8
01073002100,AL,Birmingham,2,0.7317400000000001,2.999303031131276,C,22.4,22.2,47.4,13.5
01073002200,AL,Birmingham,3,1.0,3.53331,D,20.8,24.4,48.1,14.0
01073002303,AL,Birmingham,1,0.36718,4.0,D,23.3,20.2,47.5,13.9
01073002305,AL,Birmingham,4,0.7533500000000001,3.1516028406451184,C,24.3,10.3,34.1,6.4
01073002306,AL,Birmingham,7,0.33335,2.3678416079196043,B,22.5,8.5,28.3,4.7
01073002401,AL,Birmingham,7,0.80381,3.7512969482837986,D,25.6,11.3,36.0,9.3
01073002402,AL,Birmingham,3,0.3498,3.9976558033161806,D,25.2,22.2,52.1,16.8
01073002701,AL,Birmingham,1,0.09441,4.0,D,23.9,7.4,30.6,5.8
01073002702,AL,Birmingham,2,0.53147,4.0,D,22.0,24.9,50.4,19.2
01073002900,AL,Birmingham,3,0.82237,3.9282926176781734,D,21.5,31.2,53.4,16.1
01073003001,AL,Birmingham,5,0.62382,2.6183033567375205,C,23.9,15.1,36.1,8.4
01073003002,AL,Birmingham,6,0.88317,3.139146483689437,D,19.2,20.2,44.1,11.7
01073003100,AL,Birmingham,5,0.9979199999999999,2.967392175725509,C,20.7,27.2,50.7,14.5
01073003200,AL,Birmingham,3,0.87355,3.892747982370786,D,21.3,25.3,50.1,13.7
01073003300,AL,Birmingham,1,0.53617,4.0,D,20.2,25.0,48.4,12.5
01073003400,AL,Birmingham,2,0.7549,3.4260299377400982,C,20.6,25.7,49.6,13.1
01073003500,AL,Birmingham,2,0.40900000000000003,4.0,D,21.7,23.3,49.4,13.8
01073003600,AL,Birmingham,5,0.76219,2.9260683031789974,D,19.3,23.6,46.5,10.9
01073003700,AL,Birmingham,7,0.9944099999999999,3.0421657062982073,C,21.2,26.9,50.8,13.4
01073003802,AL,Birmingham,3,0.67346,3.5266088557598074,D,18.9,22.1,45.6,9.4
01073003803,AL,Birmingham,3,1.0,3.817,D,20.3,27.1,50.1,14.0
01073003900,AL,Birmingham,4,0.78975,3.9986324786324787,D,20.4,24.8,47.6,12.8
01073004000,AL,Birmingham,3,0.99996,3.345623824952998,C,20.5,33.8,52.6,17.8
01073004200,AL,Birmingham,5,0.81321,3.766222746891947,D,18.9,23.7,46.0,13.3
01073004501,AL,Birmingham,4,1.0,3.5522899999999997,D,30.0,1.8,22.1,6.5
01073004502,AL,Birmingham,5,0.39086,3.9395179859796348,D,25.0,6.4,30.4,7.8
01073004701,AL,Birmingham,5,0.97065,2.616566218513367,C,24.1,8.4,28.8,5.4
01073004702,AL,Birmingham,4,0.83329,1.8213227087808566,B,22.6,9.3,28.3,4.2
01073004800,AL,Birmingham,5,1.0,1.58535,A,22.9,10.7,28.1,5.0
01073004901,AL,Birmingham,5,0.92032,2.2483375347705143,C,24.6,10.6,32.1,7.0
01073004902,AL,Birmingham,5,0.99408,2.9711894414936424,C,26.0,7.0,30.8,8.7
01073005000,AL,Birmingham,3,0.70085,3.030405935649568,C,25.3,7.9,30.3,8.1
01073005101,AL,Birmingham,3,1.0,3.9973400000000003,D,23.0,29.2,54.3,16.1
01073005103,AL,Birmingham,2,0.96162,4.0,D,19.1,28.2,48.1,14.5
01073005104,AL,Birmingham,1,0.04016,4.0,D,22.0,12.3,39.4,10.3
01073005200,AL,Birmingham,4,0.48055,3.8369160337113724,D,19.6,26.8,48.0,13.2
01073005302,AL,Birmingham,2,0.33554,2.2152053406449306,B,20.1,13.7,35.2,6.4
01073005500,AL,Birmingham,3,0.49441999999999997,4.0,D,22.9,23.1,48.0,14.4
01073005600,AL,Birmingham,3,0.3365,3.3781277860326897,C,24.0,10.3,29.3,7.6
01073005701,AL,Birmingham,2,0.63681,4.0,D,19.0,21.1,43.8,10.8
01073005702,AL,Birmingham,2,0.70927,3.818672719838707,D,18.3,24.3,45.3,11.2
01073005800,AL,Birmingham,5,0.00843,2.720047449584816,C,23.4,14.5,39.8,11.5
01073005905,AL,Birmingham,1,0.16518,4.0,D,22.7,21.0,46.8,15.1
01073005909,AL,Birmingham,1,0.12016,4.0,D,20.4,19.3,44.7,10.2
